matter_id,client,represented_side,counterparty,matter_type,governing_law,institution_seat,responsible_lawyer_team
ICDR-2021-000076,Ridgeline Capital AG,Claimant,Elmswood Dairy Cooperative (Respondent),Pharmaceutical supply and quality dispute,Italian law; CISG excluded,"ICDR Rules 2021; seat New York, USA; language English","Kim S, Kim & Chang, Seoul"
SCC-EA-2022/001,Ironoak Furniture Ltd,Claimant,Juniper Health Systems (Respondent),EPC contract dispute,Spanish law,"SCC Rules 2017; seat Stockholm, Sweden; language English","Silva R, Pinheiro Neto, Sao Paulo"
ICC-00030/25,Meridian Capital Partners LLP,Claimant,Ebonwood Timber Co (Respondent),Breach of warranty in asset purchase agreement,Swiss law,"ICC Rules 2021; seat Geneva, Switzerland; language English","Osei K, Bowmans, Johannesburg"
ICC-00034/26,Ebonwood Timber Co,Respondent,Blackthorn Steel Works (Claimant),Technology licensing / IP royalty dispute,Dutch law; CISG applies,"ICC Rules 2021; seat Geneva, Switzerland; language English","Baker T, Herbert Smith Freehills, Sydney"
ACICA-2025-037,Ebonwood Timber Co,Claimant,Ferrum Metals S.p.A. (Respondent),Telecom infrastructure dispute,South African law,"ACICA Rules 2021; seat Sydney, Australia; language English","Osei K, Bowmans, Johannesburg"
ARB018/22,Juniper Health Systems,Respondent,Granite Peak Mining AG (Claimant),Pharmaceutical supply and quality dispute,Swedish law,SIAC Rules 2016; seat Singapore; language English,"Al-Farsi H, Al Tamimi & Co, Dubai"
VIAC-0019-2026,Palisade Real Estate GmbH,Respondent,Kestrel Mining Corp (Claimant),Construction delay and defects claim,DIFC law,"VIAC Rules 2021; seat Vienna, Austria; language English","Fernandez P, Uria Menendez, Madrid"
ICC-00031/22,Brightwell Renewables GmbH,Claimant,Broadmoor Infrastructure Ltd (Respondent),Distribution agreement termination,Hong Kong law,"ICC Rules 2021; seat Paris, France; language English","Nakamura T, Nishimura & Asahi, Tokyo"
SCC-EA-2023/035,Lumen Optics Corp,Claimant,Ridgeline Capital AG (Respondent),Franchise agreement dispute,Hong Kong law,"SCC Rules 2017; seat Stockholm, Sweden; language English","Larsson E, Mannheimer Swartling, Stockholm"
SCC-EA-2025/032,Ironoak Furniture Ltd,Respondent,Marbella Hotels & Resorts (Claimant),Pharmaceutical supply and quality dispute,South African law,"SCC Rules 2017; seat Stockholm, Sweden; language English","Kanwar V, Osborne Clarke, Cologne"
HKIAC-2024-0027,Solstice Energy Partners,Claimant,Highbank Financial Services (Respondent),Breach of framework supply agreement,South African law,HKIAC Rules 2018; seat Hong Kong SAR; language English,"Silva R, Pinheiro Neto, Sao Paulo"
ARB023/24,Brightwell Renewables GmbH,Respondent,Ashford Textiles Ltd (Claimant),Franchise agreement dispute,Singapore law,SIAC Rules 2016; seat Singapore; language English,"Osei K, Bowmans, Johannesburg"
KCAB-2025-0035,Castor Energy Storage S.p.A.,Claimant,Halcyon Robotics Inc (Respondent),Distribution agreement termination,New York law,"KCAB International Rules 2016; seat Seoul, South Korea; language English","Larsson E, Mannheimer Swartling, Stockholm"
ICC-00035/22,Marlowe Chemicals Ltd,Respondent,Brightwell Renewables GmbH (Claimant),Technology licensing / IP royalty dispute,Hong Kong law,"ICC Rules 2021; seat Geneva, Switzerland; language English","Osei K, Bowmans, Johannesburg"
HKIAC-2024-0045,Ironoak Furniture Ltd,Respondent,Ridgeline Capital AG (Claimant),Insurance/reinsurance coverage dispute,New York law,HKIAC Rules 2018; seat Hong Kong SAR; language English,"Kim S, Kim & Chang, Seoul"
DIS-TEL-2025-0004,Northgate Retail Holdings,Claimant,Zenith Automotive Parts KK (Respondent),Telecom infrastructure dispute,English law,"DIS Rules 2018; seat Frankfurt am Main, Germany; language English","Kanwar V, Osborne Clarke, Cologne"
LCIA-20210068,Cascade Semiconductors Ltd,Claimant,Palisade Real Estate GmbH (Respondent),Shareholder oppression / minority rights,South African law,"LCIA Rules 2020; seat London, England; language English","Dubois C, Gide Loyrette Nouel, Paris"
ICDR-2024-000017,Juniper Health Systems,Claimant,Silverline Shipping Co (Respondent),Shareholder oppression / minority rights,Chinese law (PRC),"ICDR Rules 2021; seat New York, USA; language English","Baker T, Herbert Smith Freehills, Sydney"
DIAC-2021-0042,Comet Telecommunications Inc,Claimant,BluePeak Logistics B.V. (Respondent),Breach of warranty in asset purchase agreement,UAE law (onshore),"DIAC Rules 2022; seat Dubai, UAE; language English","Devi A, AZB & Partners, Mumbai"
CIETAC-2024-SHIP013,Solara Photovoltaics Ltd,Claimant,Quicksilver Fintech Ltd (Respondent),Charterparty / shipping dispute,Swiss law,"CIETAC Rules 2015; seat Beijing, China; language English","Novak P, Wolf Theiss, Vienna"
ACICA-2025-045,Kessler Industrial Equipment GmbH,Claimant,Marbella Hotels & Resorts (Respondent),Commodity trading dispute,Indian law,"ACICA Rules 2021; seat Sydney, Australia; language English","Fernandez P, Uria Menendez, Madrid"
SCC-EA-2023/040,Aster Consumer Goods Ltd,Respondent,Novatek Industrial Group (Claimant),Commodity trading dispute,German law (BGB/HGB); CISG excluded,"SCC Rules 2017; seat Stockholm, Sweden; language English","Larsson E, Mannheimer Swartling, Stockholm"
ACICA-2021-094,Silverline Shipping Co,Respondent,Elmswood Dairy Cooperative (Claimant),Breach of loan/facility agreement,French law,"ACICA Rules 2021; seat Sydney, Australia; language English","Larsson E, Mannheimer Swartling, Stockholm"
ICC-00048/25,Pinnacle Aviation Leasing,Respondent,Solstice Energy Partners (Claimant),Telecom infrastructure dispute,Dutch law; CISG applies,"ICC Rules 2021; seat Geneva, Switzerland; language English","Larsson E, Mannheimer Swartling, Stockholm"
ACICA-2025-063,Vesper Insurance Group,Claimant,Palisade Real Estate GmbH (Respondent),Telecom infrastructure dispute,Austrian law; CISG excluded,"ACICA Rules 2021; seat Sydney, Australia; language English","Osei K, Bowmans, Johannesburg"
LCIA-20240037,Pinnacle Aviation Leasing,Respondent,Sundara Textiles Pvt Ltd (Claimant),Pharmaceutical supply and quality dispute,DIFC law,"LCIA Rules 2020; seat London, England; language English","Kanwar V, Osborne Clarke, Cologne"
VIAC-0032-2022,Orion Data Centers LLC,Respondent,Northgate Retail Holdings (Claimant),Insurance/reinsurance coverage dispute,DIFC law,"VIAC Rules 2021; seat Vienna, Austria; language English","Al-Farsi H, Al Tamimi & Co, Dubai"
KCAB-2026-0018,Ebonwood Timber Co,Claimant,Helios E-Mobility GmbH (Respondent),Investment treaty claim (BIT),New York law,"KCAB International Rules 2016; seat Seoul, South Korea; language English","Silva R, Pinheiro Neto, Sao Paulo"
DIAC-2024-0036,Ironoak Furniture Ltd,Respondent,Palisade Real Estate GmbH (Claimant),Franchise agreement dispute,South African law,"DIAC Rules 2022; seat Dubai, UAE; language English","Osei K, Bowmans, Johannesburg"
AFSA-2021-034,Zenith Automotive Parts KK,Claimant,Halcyon Robotics Inc (Respondent),Product-defect / breach of supply agreement,UAE law (onshore),"AFSA Rules 2021; seat Johannesburg, South Africa; language English","Devi A, AZB & Partners, Mumbai"
HKIAC-2025-0034,Northgate Retail Holdings,Respondent,Coral Bay Hospitality Ltd (Claimant),Breach of loan/facility agreement,Indian law,HKIAC Rules 2018; seat Hong Kong SAR; language English,"Osei K, Bowmans, Johannesburg"
ARB038/23,Redcliff Pharmaceuticals Inc,Claimant,Fjordlight Seafood AS (Respondent),Breach of framework supply agreement,DIFC law,SIAC Rules 2016; seat Singapore; language English,"Dubois C, Gide Loyrette Nouel, Paris"
DIAC-2026-0012,Larkspur Biotech AG,Respondent,Orion Data Centers LLC (Claimant),Agency agreement termination,Austrian law; CISG excluded,"DIAC Rules 2022; seat Dubai, UAE; language English","Devi A, AZB & Partners, Mumbai"
AFSA-2025-019,BluePeak Logistics B.V.,Respondent,Larkspur Biotech AG (Claimant),Real estate development dispute,Swedish law,"AFSA Rules 2021; seat Johannesburg, South Africa; language English","O'Brien S, Matheson, Dublin"
ICC-00098/21,Andaman Shipping Pte Ltd,Claimant,Kestrel Mining Corp (Respondent),Breach of framework supply agreement,English law,"ICC Rules 2021; seat Geneva, Switzerland; language English","Fernandez P, Uria Menendez, Madrid"
ARB050/22,BluePeak Logistics B.V.,Respondent,Helios E-Mobility GmbH (Claimant),Breach of warranty in asset purchase agreement,South African law,SIAC Rules 2016; seat Singapore; language English,"Kim S, Kim & Chang, Seoul"
VIAC-0036-2022,Marlowe Chemicals Ltd,Claimant,Whitmore Agrochemicals plc (Respondent),Insurance/reinsurance coverage dispute,New York law,"VIAC Rules 2021; seat Vienna, Austria; language English","Meier F, Bar & Karrer, Zurich"
VIAC-0004-2025,Cascade Semiconductors Ltd,Respondent,Marbella Hotels & Resorts (Claimant),Construction delay and defects claim,New York law,"VIAC Rules 2021; seat Vienna, Austria; language English","Silva R, Pinheiro Neto, Sao Paulo"
ICC-00058/24,Blackthorn Steel Works,Claimant,Kessler Industrial Equipment GmbH (Respondent),Agency agreement termination,Australian law (NSW),"ICC Rules 2021; seat Paris, France; language English","Meier F, Bar & Karrer, Zurich"
VIAC-0038-2023,Coral Bay Hospitality Ltd,Claimant,Comet Telecommunications Inc (Respondent),Technology licensing / IP royalty dispute,Chinese law (PRC),"VIAC Rules 2021; seat Vienna, Austria; language English","Dubois C, Gide Loyrette Nouel, Paris"
AFSA-2026-036,Marlowe Chemicals Ltd,Claimant,Sundara Textiles Pvt Ltd (Respondent),Shareholder oppression / minority rights,Singapore law,"AFSA Rules 2021; seat Johannesburg, South Africa; language English","Silva R, Pinheiro Neto, Sao Paulo"
ICC-00109/21,Helios E-Mobility GmbH,Respondent,Ridgeline Capital AG (Claimant),Agency agreement termination,Chinese law (PRC),"ICC Rules 2021; seat Geneva, Switzerland; language English","Kim S, Kim & Chang, Seoul"
ARB069/22,Cinder Ridge Mining Corp,Respondent,Tundra Foods AB (Claimant),Breach of share purchase agreement (SPA),New York law,SIAC Rules 2016; seat Singapore; language English,"Silva R, Pinheiro Neto, Sao Paulo"
KCAB-2026-0056,Sundara Textiles Pvt Ltd,Respondent,Larkspur Biotech AG (Claimant),Post-M&A earn-out / indemnity claim,Swiss law,"KCAB International Rules 2016; seat Seoul, South Korea; language English","Fernandez P, Uria Menendez, Madrid"
LCIA-20220018,Cascade Semiconductors Ltd,Claimant,Solara Photovoltaics Ltd (Respondent),Breach of long-term service agreement,Singapore law,"LCIA Rules 2020; seat London, England; language English","Novak P, Wolf Theiss, Vienna"
ICDR-2025-000033,Ferrum Metals S.p.A.,Respondent,Redcliff Pharmaceuticals Inc (Claimant),Telecom infrastructure dispute,UAE law (onshore),"ICDR Rules 2021; seat New York, USA; language English","Meier F, Bar & Karrer, Zurich"
ARB085/25,Ferrum Metals S.p.A.,Claimant,Vantage Steel Corp (Respondent),Real estate development dispute,Spanish law,SIAC Rules 2016; seat Singapore; language English,"Chen J, King & Wood Mallesons, Hong Kong"
ICDR-2021-000082,Zenith Automotive Parts KK,Claimant,Amberline Cosmetics SA (Respondent),Post-M&A earn-out / indemnity claim,Austrian law; CISG excluded,"ICDR Rules 2021; seat New York, USA; language English","Devi A, AZB & Partners, Mumbai"
DIS-PHM-2022-0031,Granite Peak Mining AG,Respondent,Novatek Industrial Group (Claimant),Pharmaceutical supply and quality dispute,Austrian law; CISG excluded,"DIS Rules 2018; seat Frankfurt am Main, Germany; language English","Tan W, Rajah & Tann, Singapore"
ICDR-2026-000032,Vantage Steel Corp,Respondent,Whitmore Agrochemicals plc (Claimant),Franchise agreement dispute,Spanish law,"ICDR Rules 2021; seat New York, USA; language English","Chen J, King & Wood Mallesons, Hong Kong"
HKIAC-2021-0011,Ashford Textiles Ltd,Respondent,Ridgeline Capital AG (Claimant),Commodity trading dispute,UAE law (onshore),HKIAC Rules 2018; seat Hong Kong SAR; language English,"Meier F, Bar & Karrer, Zurich"
ACICA-2025-066,Lumen Optics Corp,Respondent,Vantage Steel Corp (Claimant),Pharmaceutical supply and quality dispute,Austrian law; CISG excluded,"ACICA Rules 2021; seat Sydney, Australia; language English","Chen J, King & Wood Mallesons, Hong Kong"
ICC-00091/24,Helios E-Mobility GmbH,Respondent,Sundara Textiles Pvt Ltd (Claimant),Pharmaceutical supply and quality dispute,Spanish law,"ICC Rules 2021; seat Paris, France; language English","Reyes M, Freshfields, London"
LCIA-20230047,Ironoak Furniture Ltd,Respondent,Trident Defense Systems (Claimant),Real estate development dispute,English law,"LCIA Rules 2020; seat London, England; language English","Kowalski A, White & Case, Warsaw"
ARB088/22,Ferrum Metals S.p.A.,Respondent,Broadmoor Infrastructure Ltd (Claimant),Agency agreement termination,Swiss law,SIAC Rules 2016; seat Singapore; language English,"Kanwar V, Osborne Clarke, Cologne"
CIETAC-2022-BIT024,Comet Telecommunications Inc,Claimant,Ebonwood Timber Co (Respondent),Investment treaty claim (BIT),Korean law,"CIETAC Rules 2015; seat Beijing, China; language English","Larsson E, Mannheimer Swartling, Stockholm"
ICC-00139/21,Redcliff Pharmaceuticals Inc,Claimant,Novatek Industrial Group (Respondent),EPC contract dispute,South African law,"ICC Rules 2021; seat Paris, France; language English","Novak P, Wolf Theiss, Vienna"
SCAI-2023-065,Whitmore Agrochemicals plc,Respondent,Palisade Real Estate GmbH (Claimant),Breach of warranty in asset purchase agreement,Korean law,"Swiss Rules 2021; seat Zurich, Switzerland; language English","Schmidt L, Hengeler Mueller, Frankfurt"
SCC-EA-2025/065,Highbank Financial Services,Claimant,Andaman Shipping Pte Ltd (Respondent),Shareholder oppression / minority rights,Austrian law; CISG excluded,"SCC Rules 2017; seat Stockholm, Sweden; language English","Larsson E, Mannheimer Swartling, Stockholm"
HKIAC-2023-0001,Tundra Foods AB,Respondent,Fjordlight Seafood AS (Claimant),Real estate development dispute,Japanese law,HKIAC Rules 2018; seat Hong Kong SAR; language English,"Devi A, AZB & Partners, Mumbai"
CIETAC-2022-FIN053,Solstice Energy Partners,Respondent,Whitmore Agrochemicals plc (Claimant),Breach of loan/facility agreement,DIFC law,"CIETAC Rules 2015; seat Beijing, China; language English","Fernandez P, Uria Menendez, Madrid"
AFSA-2024-070,Vesper Insurance Group,Claimant,Larkspur Biotech AG (Respondent),Agency agreement termination,Japanese law,"AFSA Rules 2021; seat Johannesburg, South Africa; language English","Meier F, Bar & Karrer, Zurich"
LCIA-20240040,Vesper Insurance Group,Respondent,Highbank Financial Services (Claimant),Pharmaceutical supply and quality dispute,Italian law; CISG excluded,"LCIA Rules 2020; seat London, England; language English","Meier F, Bar & Karrer, Zurich"
CIETAC-2022-SVC085,Nordwind Turbines AG,Respondent,Andaman Shipping Pte Ltd (Claimant),Breach of long-term service agreement,Swiss law,"CIETAC Rules 2015; seat Beijing, China; language English","Osei K, Bowmans, Johannesburg"
ICC-00092/24,Fjordlight Seafood AS,Respondent,Cascade Semiconductors Ltd (Claimant),Real estate development dispute,French law,"ICC Rules 2021; seat Paris, France; language English","Nakamura T, Nishimura & Asahi, Tokyo"
VIAC-0078-2023,Broadmoor Infrastructure Ltd,Claimant,Halcyon Robotics Inc (Respondent),Post-M&A earn-out / indemnity claim,DIFC law,"VIAC Rules 2021; seat Vienna, Austria; language English","Fernandez P, Uria Menendez, Madrid"
ICC-00112/26,Instigate Mobile CJSC,Claimant,Accelerate Group Limited (Respondent),Commercial arbitration,UK law,"ICC Rules; seat London, United Kingdom","Harvey Spector, Pearson Spector Litt"
